date,pm25
2021-01-01,135.0
2021-01-02,131.0
2021-01-03,94.0
2021-01-04,102.0
2021-01-05,96.0
2021-01-06,71.0
2021-01-07,70.0
2021-01-08,85.0
2021-01-09,83.0
2021-01-10,90.0
2021-01-11,112.0
2021-01-12,112.0
2021-01-13,104.0
2021-01-14,103.0
2021-01-15,119.0
2021-01-16,130.0
2021-01-17,118.0
2021-01-18,117.0
2021-01-19,115.0
2021-01-20,132.0
2021-01-21,130.0
2021-01-22,130.0
2021-01-23,146.0
2021-01-24,121.0
2021-01-25,127.0
2021-01-26,110.0
2021-01-27,130.0
2021-01-28,145.0
2021-01-29,148.0
2021-01-30,145.0
2021-01-31,133.0
2021-02-01,117.0
2021-02-02,110.0
2021-02-03,115.0
2021-02-04,104.0
2021-02-05,95.0
2021-02-06,121.0
2021-02-07,120.0
2021-02-08,137.0
2021-02-09,133.0
2021-02-10,139.0
2021-02-11,142.0
2021-02-12,129.0
2021-02-13,132.0
2021-02-14,129.0
2021-02-15,129.0
2021-02-16,139.0
2021-02-17,129.0
2021-02-18,141.0
2021-02-19,137.0
2021-02-20,95.0
2021-02-21,68.0
2021-02-22,75.0
2021-02-23,98.0
2021-02-24,106.0
2021-02-25,101.0
2021-02-26,115.8
2021-02-27,101.0
2021-02-28,85.0
2021-03-01,97.0
2021-03-02,97.0
2021-03-03,142.0
2021-03-04,135.0
2021-03-05,118.0
2021-03-06,122.0
2021-03-07,125.0
2021-03-08,102.0
2021-03-09,102.0
2021-03-10,91.0
2021-03-11,94.0
2021-03-12,113.0
2021-03-13,110.0
2021-03-14,105.0
2021-03-15,117.0
2021-03-16,131.0
2021-03-17,138.0
2021-03-18,150.0
2021-03-19,141.0
2021-03-20,393.0
2021-03-21,161.0
2021-03-22,137.0
2021-03-23,160.0
2021-03-24,140.0
2021-03-25,104.0
2021-03-26,135.0
2021-03-27,150.0
2021-03-28,175.0
2021-03-29,108.0
2021-03-30,62.0
2021-03-31,139.0
2021-04-01,115.0
2021-04-02,224.0
2021-04-03,525.0
2021-04-04,440.0
2021-04-05,169.0
2021-04-06,113.0
2021-04-07,118.0
2021-04-08,118.0
2021-04-09,120.0
2021-04-10,118.0
2021-04-11,118.0
2021-04-12,118.0
2021-04-13,118.0
2021-04-14,118.0
2021-04-15,110.0
2021-04-16,93.0
2021-04-17,111.0
2021-04-18,143.0
2021-04-19,134.0
2021-04-20,147.0
2021-04-21,151.0
2021-04-22,125.0
2021-04-23,97.0
2021-04-24,86.0
2021-04-25,103.0
2021-04-26,130.0
2021-04-27,128.0
2021-04-28,131.0
2021-04-29,140.0
2021-04-30,135.0
2021-05-01,143.0
2021-05-02,117.0
2021-05-03,100.0
2021-05-04,113.0
2021-05-05,120.0
2021-05-06,111.0
2021-05-07,102.0
2021-05-08,94.0
2021-05-09,82.0
2021-05-10,91.0
2021-05-11,104.0
2021-05-12,87.0
2021-05-13,66.0
2021-05-14,62.0
2021-05-15,52.0
2021-05-16,45.0
2021-05-17,53.0
2021-05-18,63.0
2021-05-19,52.0
2021-05-20,59.0
2021-05-21,58.0
2021-05-22,58.0
2021-05-23,64.0
2021-05-24,73.0
2021-05-25,73.0
2021-05-26,85.0
2021-05-27,83.0
2021-05-28,87.0
2021-05-29,68.0
2021-05-30,58.0
2021-05-31,58.0
2021-06-01,61.0
2021-06-02,69.0
2021-06-03,61.0
2021-06-04,61.0
2021-06-05,54.0
2021-06-06,43.0
2021-06-07,64.0
2021-06-08,88.0
2021-06-09,72.0
2021-06-10,59.0
2021-06-11,64.0
2021-06-12,68.0
2021-06-13,53.0
2021-06-14,50.0
2021-06-15,67.0
2021-06-16,79.0
2021-06-17,78.0
2021-06-18,88.0
2021-06-19,88.0
2021-06-20,83.0
2021-06-21,81.0
2021-06-22,100.0
2021-06-23,97.0
2021-06-24,99.0
2021-06-25,103.0
2021-06-26,80.0
2021-06-27,68.0
2021-06-28,72.0
2021-06-29,61.0
2021-06-30,64.0
2021-07-01,86.0
2021-07-02,85.0
2021-07-03,85.0
2021-07-04,85.0
2021-07-05,85.0
2021-07-06,85.0
2021-07-07,85.0
2021-07-08,85.0
2021-07-09,94.0
2021-07-10,85.0
2021-07-11,85.0
2021-07-12,83.0
2021-07-13,82.0
2021-07-14,59.0
2021-07-15,59.0
2021-07-16,43.0
2021-07-17,81.0
2021-07-18,75.6
2021-07-19,46.0
2021-07-20,46.0
2021-07-21,52.0
2021-07-22,86.0
2021-07-23,71.0
2021-07-24,68.0
2021-07-25,69.0
2021-07-26,70.0
2021-07-27,71.0
2021-07-28,80.0
2021-07-29,83.0
2021-07-30,85.0
2021-07-31,88.0
2021-08-01,88.0
2021-08-02,88.0
2021-08-03,109.8
2021-08-04,89.0
2021-08-05,88.0
2021-08-06,89.0
2021-08-07,90.0
2021-08-08,90.0
2021-08-09,88.0
2021-08-10,99.0
2021-08-11,101.0
2021-08-12,104.0
2021-08-13,100.0
2021-08-14,97.0
2021-08-15,97.0
2021-08-16,110.0
2021-08-17,121.0
2021-08-18,110.0
2021-08-19,97.0
2021-08-20,90.0
2021-08-21,84.0
2021-08-22,80.0
2021-08-23,84.0
2021-08-24,90.0
2021-08-25,90.0
2021-08-26,194.0
2021-08-27,168.0
2021-08-28,350.0
2021-08-29,169.0
2021-08-30,77.0
2021-08-31,73.0
2021-09-01,85.0
2021-09-02,67.0
2021-09-03,66.0
2021-09-04,68.0
2021-09-05,58.0
2021-09-06,49.0
2021-09-07,60.0
2021-09-08,64.0
2021-09-09,70.0
2021-09-10,112.0
2021-09-11,81.6
2021-09-12,81.6
2021-09-13,81.6
2021-09-14,71.0
2021-09-15,91.0
2021-09-16,90.0
2021-09-17,105.0
2021-09-18,91.0
2021-09-19,95.0
2021-09-20,108.0
2021-09-21,92.0
2021-09-22,76.0
2021-09-23,80.0
2021-09-24,83.0
2021-09-25,112.0
2021-09-26,80.0
2021-09-27,69.0
2021-09-28,76.0
2021-09-29,91.0
2021-09-30,95.0
2021-10-01,129.0
2021-10-02,105.0
2021-10-03,77.0
2021-10-04,88.0
2021-10-05,113.0
2021-10-06,105.0
2021-10-07,101.8
2021-10-08,101.8
2021-10-09,101.8
2021-10-10,101.8
2021-10-11,88.0
2021-10-12,68.0
2021-10-13,70.0
2021-10-14,63.0
2021-10-15,84.0
2021-10-16,107.0
2021-10-17,84.0
2021-10-18,93.0
2021-10-19,122.0
2021-10-20,133.0
2021-10-21,130.0
2021-10-22,104.0
2021-10-23,128.0
2021-10-24,76.0
2021-10-25,98.0
2021-10-26,121.0
2021-10-27,140.0
2021-10-28,143.0
2021-10-29,128.0
2021-10-30,76.0
2021-10-31,75.0
2021-11-01,65.0
2021-11-02,65.0
2021-11-03,130.0
2021-11-04,135.0
2021-11-05,130.0
2021-11-06,93.0
2021-11-07,143.0
2021-11-08,160.0
2021-11-09,116.0
2021-11-10,100.0
2021-11-11,115.0
2021-11-12,344.0
2021-11-13,625.0
2021-11-14,552.0
2021-11-15,286.0
2021-11-16,100.0
2021-11-17,107.0
2021-11-18,107.0
2021-11-19,107.0
2021-11-20,105.0
2021-11-21,102.0
2021-11-22,102.0
2021-11-23,102.0
2021-11-24,102.0
2021-11-25,102.0
2021-11-26,102.0
2021-11-27,102.0
2021-11-28,102.0
2021-11-29,102.0
2021-11-30,102.0
2021-12-01,102.0
2021-12-02,102.0
2021-12-03,102.0
2021-12-04,102.0
2021-12-05,102.0
2021-12-06,102.0
2021-12-07,254.0
2021-12-08,591.0
2021-12-09,447.0
2021-12-10,117.0
2021-12-11,397.0
2021-12-12,108.0
2021-12-13,106.0
2021-12-14,235.0
2021-12-15,116.0
2021-12-16,112.0
2021-12-17,103.0
2021-12-18,304.0
2021-12-19,487.0
2021-12-20,153.0
2021-12-21,96.0
2021-12-22,204.5
2021-12-23,204.5
2021-12-24,120.0
2021-12-25,548.0
2021-12-26,266.0
2021-12-27,204.5
2021-12-28,204.5
2021-12-29,204.5
2021-12-30,59.0
2021-12-31,85.0
